Site Name,County,Site No,Locality,Cluster,Zone,East,North,Landform,Water,Viewshed
Greenbush,Dane,DA-0151,Four Lakes,Four Lakes,16,304110,4769916,Terrace,Lake,Lake
Halverson/Phlaum-McWilliams,Dane,DA-0033/32,Four Lakes,Four Lakes,16,311584,4769019,Hill Slope,Lake,Confluence
Hanson,Dane,DA-0067,Four Lakes,Four Lakes,16,318814,4766404,Terrace,Creek,Confluence
Heim,Dane,DA-0577,Four Lakes,Four Lakes,16,297413,4774066,Terrace,Lake,Lake
Hornung,Dane,DA-0722,Baraboo Range,Sauk Prairie,16,281311,4792221,Terrace,Creek,Valley
Inama,Dane,DA-0338,Baraboo Range,Sauk Prairie,16,280693,4792551,Terrace,Creek,Valley
Jaggi,Dane,DA-0358,Four Lakes,Isolate,16,292093,4758677,Terrace,River,Floodplain
Jefferson Street Bear,Dane,DA-1190,Four Lakes,Four Lakes,16,303045,4770122,Hill Slope,Lake,Lake
Kennedy Pond,Dane,DA-0265,Four Lakes,Four Lakes,16,300271,4776767,Terrace,Lake,Lake
Koshkonong,Dane,DA-0029,Koshkonong,West Koshkonong,16,335080,4746024,Terrace,Lake,Lake
Lake Edge Park,Dane,DA-0275,Four Lakes,Four Lakes,16,310734,4772678,Terrace,Lake,Lake
Lake Forest #2,Dane,DA-0575,Four Lakes,Four Lakes,16,303075,4768636,Hill Slope,Marsh,Spring
Lake Monona,Dane,DA-0562,Four Lakes,Four Lakes,16,308704,4769996,Hill Slope,Lake,Confluence
Larson's Park,Dane,DA-0048,Four Lakes,Four Lakes,16,312279,4765192,Terrace,Lake,Lake
Laufenburg,Dane,DA-0884,Four Lakes,Pine Bluff,16,280884,4768599,Hill Slope,Creek,Headwaters
Lee,Dane,DA-0215,Four Lakes,Four Lakes,16,317713,4764195,Terrace,River,Valley
Lewis,Dane,DA-0074,Four Lakes,Four Lakes,16,312640,4764297,Hill Slope,River,Valley
Lewis Effigy,Dane,DA-0149,Four Lakes,Four Lakes,16,303270,4770242,Terrace,Lake,Lake
Locke,Dane,DA-0938,Four Lakes,Pine Bluff,16,285696,4769842,Toe Slope,Creek,Headwaters
Lohff/DA-0234,Dane,DA-0234/344,Four Lakes,Pine Bluff,16,279254,4766564,Ridge Crest,River,Headwaters
Maple Bluff,Dane,DA-0570,Four Lakes,Four Lakes,16,306464,4776201,Bluff Edge,Lake,Lake
McConnell,Dane,DA-0081,Four Lakes,Four Lakes,16,309826,4764862,Hill Slope,Lake,Lake
Melburg,Dane,DA-0558,Four Lakes,Isolate,16,329031,4753345,Hill Slope,Creek,Valley
Mendota Hills Bird,Dane,DA-0409,Four Lakes,Four Lakes,16,306353,4777967,Terrace,Lake,Lake
Mendota School,Dane,DA-0581,Four Lakes,Four Lakes,16,306051,4778616,Hill Slope,Upland,Valley
Mendota State Hospital,Dane,DA-0160,Four Lakes,Four Lakes,16,304866,4777745,Terrace,Lake,Lake
Merrill Springs II,Dane,DA-0699,Four Lakes,Four Lakes,16,299181,4772438,Hill Slope,Lake,Spring
Military Road Bear,Dane,DA-1197,Four Lakes,Pine Bluff,16,284895,4769255,Toe Slope,Creek,Headwaters
Mill Woods,Dane,DA-0010,Four Lakes,Four Lakes,16,308990,4773289,Terrace,Lake,Lake
Monona Avenue Park,Dane,DA-0136,Four Lakes,Four Lakes,16,306093,4771395,Hill Slope,Lake,Lake
Monona Drive,Dane,DA-0561,Four Lakes,Four Lakes,16,310661,4771711,Terrace,Lake,Lake
Monroe Street,Dane,DA-0137,Four Lakes,Four Lakes,16,302893,4770406,Ridge,Lake,Lake
Moore,Dane,DA-0071,Four Lakes,Four Lakes,16,315943,4764440,Hill Slope,River,Valley
Morris Park 1,Dane,DA-0267,Four Lakes,Four Lakes,16,301495,4777133,Terrace,Lake,Spring
Morris Park 2,Dane,DA-0268,Four Lakes,Four Lakes,16,301685,4777530,Terrace,Lake,Lake
Mt. Pleasant,Dane,DA-0216,Four Lakes,Four Lakes,16,318727,4763403,Hill Slope,Creek,Headwaters
Murphy Creek,Dane,DA-0574,Four Lakes,Four Lakes,16,305142,4769086,Ridge Top,River,Valley
Nine Mounds,Dane,DA-0693,Four Lakes,Isolate,16,290775,4764158,Ridge Spur,Creek,Headwaters
Noe Springs,Dane,DA-0004,Koshkonong,West Koshkonong,16,334728,4747100,Terrace,Lake,Spring
Nondahl,Dane,DA-0046,Four Lakes,Four Lakes,16,313059,4766530,Hill Slope,Lake,Lake
North,Dane,DA-0028,Koshkonong,West Koshkonong,16,334894,4747505,Terrace,Lake,Lake
Observatory Hill,Dane,DA-0571,Four Lakes,Four Lakes,16,303873,4771884,Hill Slope,Lake,Lake
Pheasant Branch Grove,Dane,DA-0242,Four Lakes,Isolate,16,298048,4777514,Hill Slope,Upland,Valley
Picnic Point Bay,Dane,DA-0125,Four Lakes,Four Lakes,16,302454,4771990,Terrace,Marsh,Confluence
Piper/Backus,Dane,DA-0158,Four Lakes,Four Lakes,16,299540,4769252,Hill Slope,Lake,Lake
Pleasant Springs,Dane,DA-0680,Unaffiliated,Isolate,16,324940,4788339,Hill Slope,River,Confluence
Roth,Dane,DA-0723,Four Lakes,Four Lakes,16,318555,4766693,Terrace,Creek,Valley
Sauterhoff/Veith,Dane,DA-0259/260,Four Lakes,Four Lakes,16,304471,4778871,Hill Slope,Lake,Confluence
South Lake Waubesa,Dane,DA-0085,Four Lakes,Four Lakes,16,310414,4762771,Bluff Edge,Lake,Spring
Spring Harbor,Dane,DA-0432,Four Lakes,Four Lakes,16,298730,4772635,Hill Slope,Lake,Spring
Stone Quarry,Dane,DA-0133,Four Lakes,Four Lakes,16,299640,4770931,Hill Slope,Upland,Headwaters
Sugar Bush,Dane,DA-0060/564,Four Lakes,Four Lakes,16,308114,4776341,Hill Slope,Upland,Valley
Sure Johnson,Dane,DA-0073,Four Lakes,Four Lakes,16,313584,4763612,Terrace,Lake,Confluence
Third Lake,Dane,DA-1195,Four Lakes,Four Lakes,16,309332,4769833,Terrace,Lake,Confluence
University Ridge,Dane,DA-0126,Four Lakes,Four Lakes,16,301345,4772508,Ridge,Lake,Lake
Uphoff Ridge,Dane,DA-0398,Four Lakes,Four Lakes,16,308347,4765114,Hill Slope,Creek,Valley
Vilas Circle Drive,Dane,DA-0185,Four Lakes,Four Lakes,16,303655,4770396,Terrace,Lake,Lake
Vilas Park,Dane,DA-0148,Four Lakes,Four Lakes,16,303889,4770037,Ridge Spur,Lake,Lake
W. E. Colladay,Dane,DA-0567,Four Lakes,Colladay Point,16,313974,4759883,Terrace,Lake,Lake
Wa-che-et-cha,Dane,DA-0075,Four Lakes,Four Lakes,16,312016,4764490,Hill Slope,River,Confluence
Ward,Dane,DA-0035,Four Lakes,Four Lakes,16,314105,4766995,Ridge Top,Upland,Headwaters
Warner Beach,Dane,DA-0390,Four Lakes,Four Lakes,16,307121,4777236,Terrace,Marsh,Lake
West Point,Dane,DA-0115,Four Lakes,Four Lakes,16,299272,4775586,Terrace,Lake,Lake
Williams South #1,Dane,DA-0220,Four Lakes,Kegonsa,16,317407,4760165,Terrace,Lake,Lake
Williams South #2,Dane,DA-0221,Four Lakes,Kegonsa,16,317914,4759988,Hill Slope,Lake,Lake
William's Woods,Dane,DA-1196,Four Lakes,Kegonsa,16,317982,4760218,Hill Slope,Lake,Marsh
Williamson 1,Dane,DA-0043,Four Lakes,Four Lakes,16,310304,4765990,Terrace,Lake,Lake
Willow Drive,Dane,DA-0119,Four Lakes,Four Lakes,16,302990,4772062,Terrace,Lake,Confluence
Wingra,Dane,DA-0154,Four Lakes,Four Lakes,16,301664,4769561,Hill Slope,Lake,Spring
Wingra Park,Dane,DA-1192,Four Lakes,Four Lakes,16,302234,4769617,Terrace,Lake,Lake
Winnequah Road,Dane,DA-0023,Four Lakes,Four Lakes,16,310280,4771174,Terrace,Lake,Lake
Woodward Shores,Dane,DA-0530/582,Four Lakes,Four Lakes,16,305527,4777772,Bluff Edge,Lake,Lake
Woodward Shores East,Dane,DA-0582,Four Lakes,Four Lakes,16,305937,4777829,Terrace,Lake,Lake
Yahara #1,Dane,DA-0250,Four Lakes,Four Lakes,16,304270,4780387,Terrace,River,Confluence
Yahara Heights,Dane,DA-0253,Four Lakes,Four Lakes,16,305835,4780645,Terrace,River,Marsh
Zoo,Dane,DA-1193,Four Lakes,Four Lakes,16,303726,4770202,Terrace,Lake,Lake
A. Clark,Dodge,DO-0646,Horicon,East Horicon,16,372865,4819242,Hill Slopes,River,Valley
Boiling Springs,Dodge,DO-0690,Horicon,Boiling Springs,16,357012,4811227,Terrace,River,Spring
Brummond-Schaumbert,Dodge,DO-0218,Horicon,East Horicon,16,372987,4821454,Hill Slopes,River,Confluence
Clark,Dodge,DO-0144,Horicon,East Horicon,16,372510,4818989,Hill Slopes,River,Spring
Crosses,Dodge,DO-0697,Horicon,East Horicon,16,371452,4823212,Hill Slopes,Marsh,Marsh
Davitt,Dodge,DO-0012,Horicon,Isolate,16,349376,4809332,Terrace,River,Valley
DO-0001,Dodge,DO-0001,Horicon,Boiling Springs,16,356826,4811641,Terrace,River,Headwaters
DO-0066 A,Dodge,DO-0066,Horicon,South Horicon,16,368127,4811596,Terrace,River,Confluence
DO-0066 B,Dodge,DO-0066,Horicon,South Horicon,16,368139,4811814,Terrace,River,Confluence
DO-0066 C,Dodge,DO-0066,Horicon,South Horicon,16,367931,4811677,Terrace,River,Confluence
DO-0070,Dodge,DO-0070,Horicon,Isolate,16,375967,4805323,Hill Slopes,River,Valley
DO-0071,Dodge,DO-0071,Horicon,Hustiford,16,370722,4799975,Terrace,River,Confluence
DO-0074,Dodge,DO-0074,Horicon,Hustiford,16,370828,4800341,Terrace,River,Confluence
DO-0099,Dodge,DO-0099,Horicon,Site Pair,16,358614,4812969,Terrace,Upland,Headwaters
DO-0112,Dodge,DO-0112,Horicon,Isolate,16,382750,4819071,Terrace,River,Valley
DO-0114,Dodge,DO-0114,Horicon,East Horicon,16,377312,4818853,Hill Slopes,River,Valley
DO-0115,Dodge,DO-0115,Horicon,East Horicon,16,376164,4818576,Hill Slopes,River,Valley
DO-0116,Dodge,DO-0116,Horicon,East Horicon,16,374071,4818618,Hill Slopes,River,Valley
DO-0123,Dodge,DO-0123,Horicon,East Horicon,16,374500,4815063,Hill Slopes,Marsh,Marsh
DO-0127,Dodge,DO-0127,Horicon,East Horicon,16,373513,4815266,Hill Slopes,Upland,Marsh
Dobberpuhl,Dodge,DO-0212,Horicon,East Horicon,16,371214,4814152,Terrace,Marsh,Spring
Ehricke,Dodge,DO-0209,Horicon,East Horicon,16,371083,4814883,Hill Slopes,Marsh,Confluence
Enclosed,Dodge,DO-0247,Horicon,East Horicon,16,373635,4818872,Terrace,River,Valley
Fischer,Dodge,DO-0207,Horicon,East Horicon,16,371404,4815750,Hill Slopes,Marsh,Confluence
Fishgoat,Dodge,DO-0692,Horicon,Nitschke,16,363159,4814743,Terrace,Creek,Spring
Gleissner,Dodge,DO-0143,Horicon,East Horicon,16,371632,4816550,Hill Slopes,Upland,Marsh
Government Marsh,Dodge,DO-0037,Horicon,Fox Lake,16,346340,4829142,Terrace,Lake,Lake
Hairpin,Dodge,DO-0694,Horicon,East Horicon,16,377229,4817119,Terrace,River,Valley
Hamann,Dodge,DO-0090,Unaffiliated,Isolate,16,347544,4788820,Hill Slopes,River,Lake
House,Dodge,DO-0691,Unaffiliated,Isolate,16,348555,4798997,Hill Slopes,Upland,Lake
Hull Road,Dodge,DO-0689,Unaffiliated,Isolate,16,371259,4809017,Terrace,Upland,Marsh
Hustiford Effigy,Dodge,DO-0074,Horicon,Hustiford,16,370570,4800633,Hill Slopes,River,Confluence
Hyland Prairie 1,Dodge,DO-0698,Horicon,Site Pair,16,358834,4711831,Terrace,Upland,Marsh
Indermuhle Island,Dodge,DO-0215,Horicon,East Horicon,16,369903,4814169,Island,Marsh,Marsh
Juneau Road,Dodge,DO-0077,Horicon,Road,16,364405,4805911,Hill Slopes,Upland,Divide
Koch,Dodge,DO-0208,Horicon,East Horicon,16,371360,4815046,Hill Slopes,River,Spring
Kolterman,Dodge,DO-0155,Horicon,Kolterman,16,370628,4828767,Hill Slopes,Marsh,Marsh
Lake Emily,Dodge,DO-0030,Horicon,Isolate,16,341000,4831641,Terrace,Lake,Lake
Lake View,Dodge,DO-0020,Horicon,Beaver Dam,16,352220,4816235,Terrace,Lake,Marsh
Line Road,Dodge,DO-0044,Horicon,Boiling Springs,16,356555,4811428,Terrace,River,Headwaters
Nitschke,Dodge,DO-0027,Horicon,Nitschke,16,362720,4814721,Hill Slopes,Creek,Spring
North Shore Resort,Dodge,DO-0031,Horicon,Fox Lake,16,344798,4829086,Terrace,Lake,Confluence
North Shore Woods,Dodge,DO-0040,Horicon,Fox Lake,16,345585,4829144,Terrace,Lake,Confluence
Northeast Shore,Dodge,DO-0036,Horicon,Fox Lake,16,347524,4828234,Terrace,Lake,Confluence
Oak Grove A,Dodge,DO-0588,Horicon,Road,16,358624,4803827,Hill Slopes,Upland,Headwaters
Oak Grove B,Dodge,DO-0589,Horicon,Road,16,359815,4804246,Hill Slopes,Upland,Headwaters
Overlook,Dodge,DO-0696,Horicon,East Horicon,16,374895,4815811,Ridgetop,River,Confluence
Pahl/Brummond Time,Dodge,DO-0141,Horicon,East Horicon,16,372348,4817318,Hill Slopes,Marsh,Spring
Pautz 1,Dodge,DO-0522,Horicon,Nitschke,16,362899,4815292,Hill Slopes,Creek,Spring
Prawatschke,Dodge,DO-0120,Horicon,East Horicon,16,372073,4818645,Hill Slopes,River,Spring
Ridge,Dodge,DO-0079,Unaffiliated,Isolate,16,350729,4792555,Ridgetop,River,Marsh
River Bend,Dodge,DO-0688,Horicon,South Horicon,16,367749,4810957,Terrace,River,Valley
Ruby Farm,Dodge,DO-0018,Horicon,Beaver Dam,16,352659,4816091,Hill Slopes,Lake,Lake
Ruttenberger,Dodge,DO-0205,Horicon,Kolterman,16,372016,4826832,Ridgetop,Creek,Valley
Schaeffer,Dodge,DO-0007,Horicon,Isolate,16,350399,4811881,Ridgetop,Lake,Lake
Schaumberg,Dodge,DO-0211,Horicon,East Horicon,16,372468,4815209,Hill Slopes,Upland,Headwaters
Sherberl,Dodge,DO-0202,Horicon,Kolterman,16,370707,4826949,Bluff Edge,Marsh,Marsh
Sinks,Dodge,DO-0695,Horicon,South Horicon,16,367269,4812157,Terrace,River,Confluence
Waas,Dodge,DO-0203,Horicon,Kolterman,16,370753,4826175,Bluff Edge,Marsh,Marsh
Waterworks Bay,Dodge,DO-0693,Horicon,Beaver Dam,16,352500,4815470,Hill Slopes,Lake,Lake
Waushara,Dodge,DO-0055,Horicon,Fox Lake,16,345338,4825416,Hill Slopes,Lake,Confluence
West Shore 1,Dodge,DO-0057,Horicon,Fox Lake,16,342607,4826122,Hill Slopes,Lake,Lake
West Shore 2,Dodge,DO-0044,Horicon,Fox Lake,16,342500,4826431,Hill Slopes,Lake,Lake
Wool Road,Dodge,DO-0118,Horicon,East Horicon,16,373868,4818343,Terrace,River,Valley
Yerges,Dodge,DO-0132,Unaffiliated,Isolate,16,341186,4788125,Terrace,River,Marsh
Zilisch,Dodge,DO-0147,Horicon,Isolate,16,367660,4803749,Hill Slopes,River,Confluence
DB-0002,Dubuque,DB-0002,Apple River,Site Pair,15,667874,4702882,Ridge Spur,River,Valley
Grandview Effigy Bear,Dubuque,DB-0022,Apple River,Isolate,15,692134,4705870,Ridge Spur,River,Floodplain
Hogan's Branch,Dubuque,DB-0392,Apple River,Site Pair,15,666575,4702975,Ridge Spur,River,Valley
Academy Hill,Fond du Lac,FD-0007,Niagara,Site Pair,16,389084,4848497,Bluff Edge,Creek,Lake
Birckhauser,Fond du Lac,FD-0039,Niagara,Isolate,16,402771,4851638,Hill Slopes,River,Marsh
Brugger,Fond du Lac,FD-0078,Niagara,Site Pair,16,389853,4852272,Bluff Edge,Lake,Lake
Byron,Fond du Lac,FD-0005,Unaffiliated,Isolate,16,386887,4832555,Terrace,River,Valley
Camp Shaginappi,Fond du Lac,FD-0013,Niagara,Isolate,16,393443,4863401,Terrace,Lake,Confluence
FD-0006,Fond du Lac,FD-0006,Unaffiliated,Isolate,16,369534,4853060,Terrace,River,Valley
Leonard Mill,Fond du Lac,FD-0018,Niagara,Site Pair,16,388566,4847611,Toeslope,River,Valley
Peebles,Fond du Lac,FD-0077,Niagara,Site Pair,16,389355,4851676,Bluff Edge,Lake,Lake
Seven Mile Creek,Fond du Lac,FD-0034,Unaffiliated,Isolate,16,374163,4843548,Hill Slopes,Creek,Spring
St. Cloud,Fond du Lac,FD-0036,Niagara,Isolate,16,405045,4852416,Terrace,River,Marsh
Weir Effigy,Fond du Lac,FD-0080,Horicon,Isolate,16,363556,4833026,Terrace,River,Valley
Wolf Lake Hotel,Fond du Lac,FD-0000,Niagara,Isolate,16,403284,4857418,Terrace,Lake,Lake
Wright/Rotker/Martin/Waffle,Fond du Lac,FD-0359-362,Niagara,Isolate,16,387410,4842739,Terrace,Lake,Lake
Cannon River Drive,Goodhue,GD-0182,Upper Miss,Isolate,15,532060,4935815,Terrace,River,Confluence
Bagley,Grant,GT-0127,Prairie du Chien,Elephant,15,655032,4751755,Terrace,River,Floodplain
Ballfield,Grant,GT-0124,Prairie du Chien,Wyalusing,15,653396,4761451,Ridge,River,Confluence
Bird (Hughes),Grant,GT-0261,Turkey River,Middle Grant,15,676510,4739518,Ridge Spur,River,Floodplain
Bird (Schlundt),Grant,GT-0051,Prairie du Chien,Isolate,15,667674,4767998,Terrace,River,Floodplain
Cammack,Grant,GT-0237,Turkey River,Isolate,15,683112,4727434,Ridge Spur,River,Valley
Conical,Grant,GT-0003,Turkey River,Middle Grant,15,677469,4738359,Ridge Spur,River,Confluence
Eagle Valley #2,Grant,GT-0631,Turkey River,Eagle Valley,15,658103,4738939,Ridge Spur,River,Confluence
Eagle Valley #3,Grant,GT-0041,Turkey River,Eagle Valley,15,657822,4739736,Ridge Spur,River,Floodplain
Eckstein/Ploessl,Grant,GT-0436,Turkey River,Middle Grant,15,675930,4732017,Ridge Spur,River,Confluence
Elephant,Grant,GT-0014,Prairie du Chien,Elephant,15,656360,4750090,Terrace,River,Floodplain
English Prairie,Grant,GT-0383,Eagle Township,English Prairie,15,703315,4783300,Terrace,River,Floodplain
Fenley,Grant,GT-0191,Apple River,Site Pair,15,692746,4716188,Ridge Spur,River,Confluence
Gifford,Grant,GT-0151,Prairie du Chien,Wyalusing,15,653211,4756928,Ridge Spur,River,Valley
GT-0023,Grant,GT-0023,Turkey River,Eagle Valley,15,660098,4734891,Ridge Spur,River,Confluence
GT-0038,Grant,GT-0038,Turkey River,Cassville,15,674175,4728971,Ridge,River,Divide
GT-0046,Grant,GT-0046,Prairie du Chien,Isolate,15,668833,4765844,Terrace,River,Confluence
GT-0101,Grant,GT-0101,Turkey River,Isolate,15,685213,4730808,Ridge Spur,Creek,Valley
GT-0111,Grant,GT-0111,Turkey River,Middle Grant,15,677551,4736859,Ridge,River,Valley
GT-0123,Grant,GT-0123,Prairie du Chien,Site Pair,15,659069,4761648,Toeslope,River,Confluence
GT-0145,Grant,GT-0145,Prairie du Chien,Wyalusing,15,652205,4758439,Ridge,River,Valley
GT-0148,Grant,GT-0148,Prairie du Chien,Wyalusing,15,652822,4756777,Ridge Spur,Creek,Valley
GT-0149,Grant,GT-0149,Prairie du Chien,Wyalusing,15,652795,4757313,Ridge,River,Floodplain
GT-0163,Grant,GT-0163,Unaffiliated,Site Pair,15,692073,4716832,Ridge Spur,River,Floodplain
GT-0385,Grant,GT-0385,Turkey River,Cassville,15,672705,4730521,Ridge,River,Valley
GT-0386,Grant,GT-0386,Turkey River,Uddelhoven,15,676654,4727673,Ridge Spur,River,Floodplain
GT-0387,Grant,GT-0387,Turkey River,Uddelhoven,15,676487,4727776,Ridge Spur,River,Floodplain
GT-0492,Grant,GT-0492,Turkey River,Cassville,15,671829,4729951,Ridge,River,Valley
GT-0493,Grant,GT-0493,Turkey River,Cassville,15,668982,4729490,Terrace,River,Floodplain
GT-0497,Grant,GT-0497,Prairie du Chien,Elephant,15,657146,4750020,Ridge Spur,River,Confluence
GT-0530,Grant,GT-0530,Turkey River,Upper Grant,15,677959,4745833,Ridge Spur,River,Confluence
Jack Oak Slough,Grant,GT-0029,Turkey River,Cassville,15,666754,4729758,Terrace,River,Confluence
McLean,Grant,GT-0002,Turkey River,Upper Grant,15,678510,4746226,Ridge Spur,River,Confluence
Meng,Grant,GT-0150,Prairie du Chien,Wyalusing,15,653422,4757588,Ridge,River,Divide
Muscoda,Grant,GT-0056,Eagle Township,English Prairie,15,707905,4785425,Confluence,River,Floodplain
Panther Ridge,Grant,GT-0380,Turkey River,Eagle Valley,15,658672,4737376,Ridge Spur,River,Confluence
Potosi,Grant,GT-0107,Turkey River,Isolate,15,687168,4729173,Ridge,River,Valley
Procession of Mounds,Grant,GT-0132,Prairie du Chien,Wyalusing,15,653919,4760597,Ridge,River,Headwaters
Raisbeck,Grant,GT-0112,Turkey River,Middle Grant,15,674048,4736115,Ridge Spur,River,Confluence
Riverside Park,Grant,GT-0032,Turkey River,Cassville,15,664837,4730459,Terrace,River,Floodplain
Sander's Creek,Grant,GT-0007,Eagle Township,Isolate,15,685408,4778217,Terrace,River,Confluence
Schnee,Grant,GT-0391,Prairie du Chien,Wyalusing,15,657228,4760383,Ridge,Creek,Valley
Sentinal Ridge,Grant,GT-0136,Prairie du Chien,Wyalusing,15,652494,4760718,Ridge,River,Confluence
Ski Jump,Grant,GT-0531,Turkey River,Upper Grant,15,678397,4745070,Hill Slopes,Creek,Valley
South Point,Grant,GT-0146,Prairie du Chien,Wyalusing,15,651835,4757403,Ridge Spur,River,Confluence
Spook Hill,Grant,GT-0392,Prairie du Chien,Wyalusing,15,652860,4759013,Ridge,River,Floodplain
Uddelhoven #1,Grant,GT-0254,Turkey River,Uddelhoven,15,676291,4727844,Ridge Spur,River,Confluence
Uppena #1,Grant,GT-0171,Turkey River,Cassville,15,669193,4729945,Ridge,River,Floodplain
Uppena #2,Grant,GT-0173,Turkey River,Cassville,15,670163,4729266,Bluff Edge,River,Floodplain
WA 12,Grant,GT-0251,Turkey River,Cassville,15,672874,4728482,Ridge,River,Floodplain
Wyalusing,Grant,GT-0120,Prairie du Chien,Wyalusing,15,652042,4756327,Ridge Spur,River,Floodplain
Yearous,Grant,GT-0168,Turkey River,Isolate,15,681970,4728799,Ridge Spur,River,Valley
Babcock,Green Lake,GL-0086,Green Lake,Sugar Loaf,16,333424,4851084,Terrace,Lake,Lake
Big Bend of the Fox,Green Lake,GL-0262,Green Lake,Site Pair,16,327805,4852705,Terrace,River,Floodplain
Carlsruhe,Green Lake,GL-0060,Green Lake,East Green Lake,16,344584,4853122,Hillslope,Lake,Lake
Dhalke,Green Lake,GL-0120,Green Lake,Puckaway,16,322993,4845392,Ridgetop,Lake,Lake
Ebert,Green Lake,GL-0115,Green Lake,Puckaway,16,319724,4844842,Ridgetop,Lake,Divide
Forest Glen Beach,Green Lake,GL-0061,Green Lake,East Green Lake,16,345038,4853127,Terrace,Lake,Confluence
Germania,Green Lake,GL-0059,Green Lake,East Green Lake,16,344215,4852970,Terrace,Lake,Spring
GL-0069,Green Lake,GL-0069,Green Lake,Isolate,16,343745,4839464,Terrace,Creek,Spring
GL-0087,Green Lake,GL-0087,Green Lake,Site Pair,16,334351,4848998,Lakeshore,Lake,Confluence
GL-0131,Green Lake,GL-0131,Green Lake,Grand River Springs,16,346108,4843325,Hilltop,River,Marsh
GL-0144,Green Lake,GL-0144,Green Lake,Isolate,16,327511,4841688,Uplands,River,Spring
GL-0146,Green Lake,GL-0146,Green Lake,Isolate,16,334159,4836126,Unknown,Creek,Valley
GL-0160,Green Lake,GL-0160,Green Lake,Princeton,16,326372,4857830,Uplands,Marsh,Marsh
Grand River Forks,Green Lake,GL-0105,Green Lake,Isolate,16,325582,4841888,Toeslope,Marsh,Confluence
Green Lake,Green Lake,GL-0248,Green Lake,Sugar Loaf,16,336576,4853280,Lakeshore,Lake,Lake
Hrabe Bird,Green Lake,GL-0260,Green Lake,Site Pair,16,327532,4852939,Terrace,River,Spring
Hutchinson,Green Lake,GL-0168,Green Lake,Isolate,16,339833,4859534,Terrace,River,Floodplain
Lake Minnie,Green Lake,GL-0034,Green Lake,Isolate,16,341417,4851280,Hillslope,Lake,Lake
Le Roy Creek,Green Lake,GL-0040,Green Lake,Site Pair,16,335128,4849104,Lakeshore,Lake,Confluence
Lunlow,Green Lake,GL-0101,Green Lake,Princeton,16,326781,4857437,Unknown,Marsh,Marsh
Meilke,Green Lake,GL-0113,Green Lake,Grand River Springs,16,345680,4843308,Terrace,River,Marsh
Military Road,Green Lake,GL-0025,Green Lake,East Green Lake,16,346858,4852247,Hilltop,Upland,Spring
Murtagh,Green Lake,GL-0079,Green Lake,Puckaway,16,324158,4845622,Toeslope,Lake,Marsh
North Shore,Green Lake,GL-0048,Green Lake,Isolate,16,339576,4844546,Bluff,Lake,Lake
Norwegian Bay,Green Lake,GL-0027,Green Lake,Sugar Loaf,16,335538,4852295,Terrace,Lake,Lake
Old Green Lake Road,Green Lake,GL-0264,Green Lake,Isolate,16,332830,4856398,Hilltop,Marsh,Headwaters
Powell Creek,Green Lake,GL-0057,Green Lake,East Green Lake,16,344833,4852986,Terrace,Lake,Confluence
Quimby Bay,Green Lake,GL-0085,Green Lake,Sugar Loaf,16,334321,4852204,Terrace,Lake,Confluence
Schwager II,Green Lake,GL-0078,Green Lake,Puckaway,16,321010,4845024,Hillslope,Lake,Lake
Silver Creek,Green Lake,GL-0009,Green Lake,East Green Lake,16,345741,4854533,Hilltop,Lake,Confluence
Spring Grove,Green Lake,GL-0062,Green Lake,East Green Lake,16,343699,4852894,Terrace,Lake,Spring
Sugar Loaf,Green Lake,GL-0004,Green Lake,Sugar Loaf,16,336360,4852090,Hilltop,Lake,Lake
Terrace Beach,Green Lake,GL-0010,Green Lake,East Green Lake,16,344885,4854741,Terrace,Lake,Confluence
Terrace Beach North,Green Lake,GL-0263,Green Lake,East Green Lake,16,344669,4855117,Terrace,Lake,Confluence
Tinkham,Green Lake,GL-0100,Green Lake,Grand River Springs,16,347404,4844382,Terrace,River,Spring
Utley,Green Lake,GL-0063,Green Lake,Grand River Springs,16,346077,4844129,Terrace,River,Marsh
Weise,Green Lake,GL-0095,Green Lake,Princeton,16,327792,4857321,Terrace,Creek,Valley
Willow Point I,Green Lake,GL-0090,Green Lake,East Green Lake,16,329647,4848576,Lakeshore,Lake,Confluence
Hein,Houston,HU-0015,Trempealeau,Hokah,15,636290,4851964,Terrace,River,Confluence
Hokah,Houston,HU-0011,Bad Axe,Hokah,15,632430,4846223,Terrace,River,Confluence
HU-0013,Houston,HU-0013,Trempealeau,Hokah,15,636372,4853635,Terrace,River,Floodplain
HU-0014,Houston,HU-0014,Trempealeau,Hokah,15,636046,4852355,Terrace,River,Confluence
Cushman,Iowa,IA-0026,Pecatonica,Site Pair,15,718330,4744397,Ridge Spur,River,Confluence
Fitzimmons,Iowa,IA-0036,Pecatonica,Isolate,15,741091,4754785,Hill Slope,River,Valley
Peniel Church,Iowa,IA-0016,Pecatonica,Site Pair,15,717807,4745098,Ridge Spur,River,Valley
Sawle,Iowa,IA-0155,Unaffiliated,Isolate,16,226560,4782078,Terrace,River,Floodplain
Seider-Culver,Iowa,IA-0008,Unaffiliated,Isolate,15,728270,4782332,Ridge Spur,River,Confluence
Siamese Birds,Iowa,IA-0435,Eagle Township,Isolate,15,714479,4786343,Terrace,River,Floodplain
Whatsit,Iowa,IA-0436,Eagle Township,Isolate,15,711303,4785854,Terrace,River,Floodplain
Wolf Trap,Iowa,IA-0437,Eagle Township,Isolate,15,716952,4786959,Terrace,River,Floodplain
