Site Name,County,Site No,Locality,Cluster,Zone,East,North,Landform,Water,Viewshed
Dewey,Waukesha,WK-0204,Waukesha,Big Bend,16,397688,4746721,Ridge Spur,River,Floodplain
Dixon,Waukesha,WK-0153,Waukesha,Oconomowoc,16,380386,4772222,Terrace,Lake,Lake
Dousman Road,Waukesha,WK-0230,Waukesha,Oconomowoc,16,379487,4769324,Terrace,Lake,Lake
Harding,Waukesha,WK-0218,Waukesha,Waukesha,16,400913,4762544,Terrace,River,Floodplain
Hartland,Waukesha,WK-0062,Waukesha,Bark-Fox Portage,16,391898,4774824,Terrace,River,Floodplain
Horn,Waukesha,WK-0131,Waukesha,Bark-Fox Portage,16,397762,4769647,Hill Slopes,River,Spring
Junction,Waukesha,WK-0142,Waukesha,Bark-Fox Portage,16,400923,4765593,Terrace,River,Floodplain
Lakeside I,Waukesha,WK-0155,Waukesha,Oconomowoc,16,378570,4770760,Terrace,Lake,Lake
Lapham,Waukesha,WK-0144,Waukesha,Bark-Fox Portage,16,400475,4766189,Terrace,River,Floodplain
Lapham's Lost Turtle,Waukesha,WK-0585,Waukesha,Big Bend,16,401099,4746856,Ridge Spur,River,Floodplain
Main Street,Waukesha,WK-0222,Waukesha,Waukesha,16,399372,4762460,Terrace,River,Floodplain
Maney,Waukesha,WK-0198,Waukesha,Big Bend,16,402336,4745872,Terrace,River,Confluence
Merton,Waukesha,WK-0019,Waukesha,Bark-Fox Portage,16,394329,4777475,Terrace,River,Floodplain
Regula I,Waukesha,WK-0165,Waukesha,Oconomowoc,16,381581,4769145,Upland,Upland,Divide
Regula II,Waukesha,WK-0165,Waukesha,Oconomowoc,16,380699,4768662,Upland,Upland,Divide
Regula III,Waukesha,WK-0165,Waukesha,Oconomowoc,16,381171,4768792,Upland,Marsh,Marsh
School Section,Waukesha,WK-0133,Waukesha,Bark-Fox Portage,16,398460,4767842,Hill Slopes,River,Valley
Silurian Springs,Waukesha,WK-0233,Waukesha,Waukesha,16,400335,4762396,Terrace,River,Spring
South Shore,Waukesha,WK-0170,Waukesha,Oconomowoc,16,378565,4769862,Terrace,Lake,Lake
Stewart,Waukesha,WK-0141,Waukesha,Bark-Fox Portage,16,399103,4767269,Terrace,River,Valley
Summit Center I,Waukesha,WK-0583,Waukesha,Oconomowoc,16,379561,4768751,Upland,Upland,Divide
Summit Center II,Waukesha,WK-0584,Waukesha,Oconomowoc,16,380348,4768622,Upland,Upland,Divide
Swan,Waukesha,WK-0163,Waukesha,Oconomowoc,16,383089,4769271,Terrace,Lake,Lake
Waukesha Road,Waukesha,WK-0150,Waukesha,Bark-Fox Portage,16,399913,4766090,Terrace,River,Floodplain
WK-0018,Waukesha,WK-0018,Waukesha,Bark-Fox Portage,16,391608,4774611,Terrace,River,Floodplain
WK-0120,Waukesha,WK-0120,Waukesha,Bark-Fox Portage,16,395075,4771155,Terrace,Lake,Confluence
WK-0140,Waukesha,WK-0140,Waukesha,Bark-Fox Portage,16,399346,4766669,Terrace,River,Floodplain
WK-0154,Waukesha,WK-0154,Waukesha,Oconomowoc,16,379574,4771818,Upland,Lake,Divide
WK-0160,Waukesha,WK-0160,Waukesha,Oconomowoc,16,379481,4770075,Terrace,Lake,Lake
Young,Waukesha,WK-0117,Waukesha,Bark-Fox Portage,16,398678,4772956,Terrace,Creek,Valley
